,level_0,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,Organization Name,Discipline / Field,Category,City,State,Project Description,Fiscal Year,Grant Amount,grant_length,7,1,2,3,4,5,6,LDA_label,bart_label_1,bart_label_2,bart_label_3,bart_score_1,bart_score_2,bart_score_3,lda_topic_6,lda_topic_1,lda_topic_2,lda_topic_3,lda_topic_4,lda_topic_5,LDA_label_6_topics,10k_bin,decile,lemma_list
0,0,0,0,0,1,Aiken Symphony Orchestra Incorporated,Challenge America,Challenge America,Aiken,SC,"Purpose: To support a series of community outreach concerts. Additional Project Description: The Aiken Symphony Orchestra will provide concerts at a community venue such as a senior care or health care facility. Programming will be presented through partnerships with community organizations such as the Tri-Development Center. Intended Beneficiaries: Residents throughout Aiken will have access to the performances, including individuals with disabilities. Intended Outcome: Beneficiaries engage with the arts.",2022,2650.0,364 days,0.0722163096070289,0.0179373770952224,0.3306016623973846,0.0884335413575172,0.0736253857612609,0.3165869414806366,0.1005987823009491,2,community outreach,concert series,covid relief,0.5688194036483765,0.3670175075531006,0.0116232363507151,0.0049130273982882,0.0512071922421455,0.0377857200801372,0.0024611840490251,0.0024505734909325,0.9011822938919068,lda_topic_5,"(0, 10000]","(2502.65, 17385.0]","['purpose', 'support', 'series', 'community', 'outreach', 'concert', 'additional', 'project', 'description', 'provide', 'concert', 'community', 'venue', 'such', 'senior', 'care', 'health', 'care', 'facility', 'programming', 'present', 'partnership', 'community', 'organization', 'such', 'development', 'center', 'intend', 'beneficiary', 'resident', 'aiken', 'access', 'performance', 'include', 'individual', 'disability', 'intend', 'outcome', 'beneficiary', 'engage', 'art']"
1,1,1,1,1,2,"Alabama Symphonic Association, Inc.",Music,Grants for Arts Projects,BIRMINGHAM,AL,"Purpose: To support a composer residency by Brian Nabors including commissions, performances, and educational activities. Additional Project Description: Plans include the completion of two works for orchestra and performances of these and other works by the composer. Nabors will lead master classes in local schools and colleges. Intended Beneficiaries: Programs will benefit the composer-in-residence as well as general audiences in Birmingham, Alabama, and area public school students. Intended Outcome: Artistic activities and traditions are supported to strengthen the nation's cultural infrastructure.",2022,15000.0,272 days,0.157878041267395,0.2193477153778076,0.1475093960762024,0.2726421058177948,0.0102295605465769,0.186942771077156,0.0054504252038896,3,student education,composer commission,community outreach,0.3089627921581268,0.2520522773265838,0.2001630812883377,0.0039150319062173,0.142451986670494,0.5302446484565735,0.0210522711277008,0.0018844858277589,0.3004516065120697,lda_topic_2,"(10000, 20000]","(2502.65, 17385.0]","['purpose', 'support', 'composer', 'residency', 'brian', 'nabor', 'include', 'commission', 'performance', 'educational', 'activity', 'additional', 'project', 'description', 'plan', 'include', 'completion', 'work', 'orchestra', 'performance', 'other', 'work', 'composer', 'nabor', 'lead', 'master', 'class', 'local', 'school', 'college', 'intend', 'beneficiary', 'program', 'benefit', 'composer', 'residence', 'as', 'well', 'general', 'audience', 'area', 'public', 'school', 'student', 'intend', 'outcome', 'artistic', 'activity', 'tradition', 'support', 'strengthen', 'nation', 'cultural', 'infrastructure']"
2,2,2,2,2,3,"Alabama Symphonic Association, Inc.",Music,Art Works,BIRMINGHAM,AL,"To support concerts and outreach activities by the Alabama Symphony Orchestra. Project plans will include performances, instrument petting zoos, and distribution of teacher guides. Repertoire for the concerts may include excerpts from Stravinsky's ""The Firebird"" or Tchaikovsky's Symphony No. 4. The selection of tour venues will focus on underserved communities that do not have direct access to a professional orchestra.",2015,10000.0,365 days,0.003186878748238,0.065177209675312,0.5163974761962891,0.3174723386764526,0.014692461118102,0.0447684973478317,0.038305215537548,2,community outreach,concert series,covid relief,0.6078048348426819,0.2440418303012848,0.0298966858536005,0.006221106275916,0.1465634107589721,0.0775123685598373,0.0031051291152834,0.2460705190896988,0.5205274820327759,lda_topic_5,"(0, 10000]","(2502.65, 17385.0]","['support', 'concert', 'outreach', 'activity', 'project', 'plan', 'include', 'performance', 'instrument', 'pet', 'zoo', 'distribution', 'teacher', 'guide', 'repertoire', 'concert', 'include', 'excerpt', 'stravinskys', 'firebird', 'tchaikovskys', 'symphony', 'selection', 'tour', 'venue', 'focus', 'underserve', 'community', 'direct', 'access', 'professional', 'orchestra']"
3,3,3,3,3,4,"Alabama Symphonic Association, Inc.",Music,Art Works,BIRMINGHAM,AL,"To support Sound Investment, a residency and commissioning project. Plans include two week-long visits by composer Judd Greenstein, master classes for university music students, open rehearsals for school students, a lecture program for adults, and the commissioning and performance of a new work by Greenstein.",2013,20000.0,180 days,0.0038169568870216,0.2921947836875915,0.1587745547294616,0.5075314044952393,0.0184406545013189,0.008779383264482,0.0104622161015868,3,composer commission,community outreach,student education,0.4979983568191528,0.1897958666086197,0.1389310956001281,0.0075639160349965,0.409688800573349,0.4016399979591369,0.0037614644970744,0.0037439542356878,0.1736018508672714,lda_topic_1,"(10000, 20000]","(17385.0, 32120.0]","['support', 'sound', 'investment', 'residency', 'commission', 'project', 'plan', 'include', 'week', 'long', 'visit', 'class', 'university', 'music', 'student', 'open', 'rehearsal', 'school', 'student', 'lecture', 'program', 'adult', 'commissioning', 'performance', 'new', 'work']"
4,4,4,14,14,15,"Albany Symphony Association, Inc.",Challenge America,Challenge America,ALBANY,GA,"To support a performance and outreach activities featuring flutist Joseph FireCrow. A member of the Cheyenne Nation, FireCrow will narrate, play, and sing Jim Cockey's ""The Gift of the Elk: A Suite for Native American Flute,"" a symphonic composition based on a Cheyenne myth. In addition to a performance, the project will also include outreach activities in local schools in rural Southwest Georgia.",2016,10000.0,120 days,0.03715530782938,0.0986031368374824,0.3050570785999298,0.1097397133708,0.2658112347126007,0.1743467450141906,0.0092867445200681,2,composer commission,festival,cultural diversity,0.3356387019157409,0.2181483507156372,0.1264727562665939,0.0065784426406025,0.0392475575208663,0.7097757458686829,0.0032030537258833,0.0031881381291896,0.2380071133375167,lda_topic_2,"(0, 10000]","(2502.65, 17385.0]","['support', 'performance', 'outreach', 'activity', 'feature', 'member', 'nation', 'narrate', 'play', 'sing', 'cockey', 'gift', 'suite', 'native', 'american', 'symphonic', 'composition', 'base', 'cheyenne', 'myth', 'addition', 'performance', 'project', 'also', 'include', 'outreach', 'activity', 'local', 'school', 'rural', 'southwest']"
5,5,5,20,20,21,"Albany Symphony Orchestra, Inc.",Music,Grants for Arts Projects,Albany,NY,"Purpose: To support the American Music Festival, including commissions of new works. Additional Project Description: The festival will be a collaborative exploration of Black cultural expression in America—jazz, hip-hop, and Afro-Caribbean—through music, spoken-word, dance, and other art forms. Focusing on the creation and performance of new art by composers and performers of color, the festival will be curated by violinist Regina Carter, spoken-word artist Marc Bamuthi Joseph, and Artistic Director of Ase Dance Theatre Adia Whitaker. Project plans include workshops, a composer reading session, a street dance, and a variety of educational and community engagement programs. Intended Beneficiaries: The festival and educational activities will serve residents of New York and surrounding states in the region. Intended Outcome: Beneficiaries access arts activities and programming.",2023,25000.0,364 days,0.0014188722707331,0.1992302238941192,0.1642248034477234,0.075524665415287,0.0704955235123634,0.4852558374404907,0.0038500514347106,5,student education,community outreach,covid relief,0.3453705012798309,0.2799543142318725,0.0829333364963531,0.0026618863921612,0.1661505848169326,0.5374361276626587,0.0013286212924867,0.0140025122091174,0.2784202694892883,lda_topic_2,"(20000, 30000]","(17385.0, 32120.0]","['purpose', 'support', 'american', 'music', 'festival', 'include', 'commission', 'new', 'work', 'additional', 'project', 'description', 'festival', 'collaborative', 'exploration', 'black', 'cultural', 'expression', 'afro', 'caribbean', 'music', 'speak', 'word', 'dance', 'other', 'art', 'form', 'focus', 'creation', 'performance', 'new', 'art', 'composer', 'performer', 'color', 'festival', 'curate', 'violinist', 'speak', 'word', 'artist', 'artistic', 'director', 'ase', 'dance', 'theatre', 'whitaker', 'project', 'plan', 'include', 'workshop', 'composer', 'read', 'session', 'street', 'dance', 'variety', 'educational', 'community', 'engagement', 'program', 'intend', 'beneficiary', 'festival', 'educational', 'activity', 'serve', 'resident', 'surround', 'state', 'region', 'intend', 'outcome', 'beneficiary', 'access', 'art', 'activity', 'programming']"
6,6,6,21,21,22,"Albany Symphony Orchestra, Inc.",Music,Grants for Arts Projects,Albany,NY,"Purpose: To support the American Music Festival, including commissions of new works. Additional Project Description: Composers to be commissioned will include John Corigliano, Bobby Ge, Jack Frerer, Loren Loiacono, and Natalie Draper. Project plans will comprise a composition seminar, a composer reading session, and a variety of educational and community engagement programs. Intended Beneficiaries: The festival and educational activities will serve residents of New York and surrounding states in the region. Intended Outcome: Beneficiaries engage with the arts.",2022,25000.0,180 days,0.0024183979257941,0.3219779729843139,0.1231366172432899,0.1343053430318832,0.0341942533850669,0.3545690476894378,0.0293983407318592,5,community outreach,concert series,covid relief,0.6215627193450928,0.2372343689203262,0.0381869673728942,0.0045815492048859,0.0556092895567417,0.5363652110099792,0.0023016666527837,0.0022910363040864,0.3988512754440307,lda_topic_2,"(20000, 30000]","(17385.0, 32120.0]","['purpose', 'support', 'american', 'music', 'festival', 'include', 'commission', 'new', 'work', 'additional', 'project', 'description', 'composer', 'commission', 'include', 'draper', 'project', 'plan', 'comprise', 'composition', 'seminar', 'composer', 'reading', 'session', 'variety', 'educational', 'community', 'engagement', 'program', 'intend', 'beneficiary', 'festival', 'educational', 'activity', 'serve', 'resident', 'surround', 'state', 'region', 'intend', 'outcome', 'beneficiary', 'engage', 'art']"
7,7,7,22,22,23,"Albany Symphony Orchestra, Inc.",Music,Grants for Arts Projects,Albany,NY,"To support the American Music Festival including commissions of new works. Composers to be commissioned may include Molly Joyce, Nina Shekhar, and Christopher Theofanidis. Project plans include a composition seminar, a composer reading session, and educational programs for local school students.",2021,25000.0,180 days,0.0041680568829178,0.5598415732383728,0.1628282815217971,0.2276073992252349,0.0246807448565959,0.0095371650531888,0.0113367838785052,1,community outreach,cultural diversity,concert series,0.3323266804218292,0.2806184887886047,0.1581638753414154,0.0083116516470909,0.1666836738586425,0.7210917472839355,0.0040495097637176,0.0040306323207914,0.09583280980587,lda_topic_2,"(20000, 30000]","(17385.0, 32120.0]","['support', 'american', 'music', 'festival', 'include', 'commission', 'new', 'work', 'composer', 'commission', 'include', 'molly', 'plan', 'include', 'composition', 'seminar', 'composer', 'reading', 'session', 'educational', 'program', 'local', 'school', 'student']"
8,8,8,23,23,24,"Albany Symphony Orchestra, Inc.",Music,Art Works,Albany,NY,"To support planning costs and composer fees for the American Music Festival. The festival's theme will celebrate the completion of the Empire State Trail, 750 miles of cycling and walking trails throughout the state.",2020,25000.0,212 days,0.1321229338645935,0.3855118751525879,0.1125086173415184,0.1127551570534706,0.2306999415159225,0.0131365871056914,0.0132649075239896,1,composer commission,concert series,community outreach,0.5524287223815918,0.1143418177962303,0.0886075645685195,0.3413969576358795,0.2017032355070114,0.3460407555103302,0.056408192962408,0.0047608418390154,0.0496899597346782,lda_topic_2,"(20000, 30000]","(17385.0, 32120.0]","['support', 'planning', 'cost', 'composer', 'fee', 'american', 'music', 'festival', 'festival', 'theme', 'celebrate', 'completion', 'empire', 'state', 'trail', 'mile', 'cycling', 'walk', 'trail', 'state']"
9,9,9,24,24,25,"Albany Symphony Orchestra, Inc.","Coronavirus Aid, Relief, and Economic Security (CARES) Act","Coronavirus Aid, Relief, and Economic Security (CARES) Act",Albany,NY,To support personnel costs in response to the COVID-19 pandemic.,2020,50000.0,364 days,0.5653015971183777,0.0750776156783104,0.1473093330860138,0.1056966036558151,0.0511973984539508,0.0255030337721109,0.0299144424498081,7,community outreach,recording tour,covid relief,0.3593439161777496,0.1019799560308456,0.0972210988402366,0.0253871064633131,0.0567813217639923,0.0637875869870185,0.7256613969802856,0.0127105396240949,0.1156720370054245,lda_topic_3,"(40000, 50000]","(46855.0, 61590.0]","['support', 'personnel', 'cost', 'response', 'covid', 'pandemic']"
