,10k_bin,WORDS,Value
0,"(0, 10000]",concert,368
1,"(0, 10000]",support,327
2,"(0, 10000]",performance,316
3,"(0, 10000]",music,257
4,"(0, 10000]",student,250
5,"(0, 10000]",school,244
6,"(0, 10000]",project,202
7,"(0, 10000]",include,181
8,"(0, 10000]",program,179
9,"(0, 10000]",activity,168
10,"(0, 10000]",community,159
11,"(0, 10000]",orchestra,143
12,"(0, 10000]",perform,127
13,"(0, 10000]",feature,122
14,"(0, 10000]",artist,107
15,"(0, 10000]",work,107
16,"(0, 10000]",intend,101
17,"(0, 10000]",beneficiary,93
18,"(0, 10000]",free,93
19,"(0, 10000]",musician,93
20,"(10000, 20000]",music,327
21,"(10000, 20000]",support,306
22,"(10000, 20000]",project,267
23,"(10000, 20000]",concert,223
24,"(10000, 20000]",performance,208
25,"(10000, 20000]",program,201
26,"(10000, 20000]",student,197
27,"(10000, 20000]",include,194
28,"(10000, 20000]",school,184
29,"(10000, 20000]",work,182
30,"(10000, 20000]",orchestra,165
31,"(10000, 20000]",community,146
32,"(10000, 20000]",intend,138
33,"(10000, 20000]",activity,126
34,"(10000, 20000]",beneficiary,126
35,"(10000, 20000]",musician,124
36,"(10000, 20000]",composer,122
37,"(10000, 20000]",perform,101
38,"(10000, 20000]",new,98
39,"(10000, 20000]",ensemble,94
40,"(140000, 150000]",support,24
41,"(140000, 150000]",covid,16
42,"(140000, 150000]",intend,16
43,"(140000, 150000]",organization,16
44,"(140000, 150000]",pandemic,16
45,"(140000, 150000]",recovery,16
46,"(140000, 150000]",activity,8
47,"(140000, 150000]",additional,8
48,"(140000, 150000]",art,8
49,"(140000, 150000]",artist,8
50,"(140000, 150000]",artistic,8
51,"(140000, 150000]",assistance,8
52,"(140000, 150000]",audience,8
53,"(140000, 150000]",beneficiary,8
54,"(140000, 150000]",benefit,8
55,"(140000, 150000]",constituency,8
56,"(140000, 150000]",cultural,8
57,"(140000, 150000]",description,8
58,"(140000, 150000]",devastating,8
59,"(140000, 150000]",economic,8
60,"(20000, 30000]",music,98
61,"(20000, 30000]",support,80
62,"(20000, 30000]",include,75
63,"(20000, 30000]",concert,61
64,"(20000, 30000]",composer,54
65,"(20000, 30000]",program,53
66,"(20000, 30000]",project,52
67,"(20000, 30000]",work,52
68,"(20000, 30000]",student,50
69,"(20000, 30000]",performance,47
70,"(20000, 30000]",activity,45
71,"(20000, 30000]",orchestra,41
72,"(20000, 30000]",new,40
73,"(20000, 30000]",school,36
74,"(20000, 30000]",artist,35
75,"(20000, 30000]",festival,33
76,"(20000, 30000]",feature,29
77,"(20000, 30000]",musician,29
78,"(20000, 30000]",educational,28
79,"(20000, 30000]",intend,28
80,"(30000, 40000]",concert,99
81,"(30000, 40000]",performance,95
82,"(30000, 40000]",project,93
83,"(30000, 40000]",support,92
84,"(30000, 40000]",composer,77
85,"(30000, 40000]",music,74
86,"(30000, 40000]",include,71
87,"(30000, 40000]",work,58
88,"(30000, 40000]",orchestra,55
89,"(30000, 40000]",feature,51
90,"(30000, 40000]",activity,50
91,"(30000, 40000]",community,48
92,"(30000, 40000]",artist,47
93,"(30000, 40000]",intend,43
94,"(30000, 40000]",as,39
95,"(30000, 40000]",new,39
96,"(30000, 40000]",beneficiary,37
97,"(30000, 40000]",program,37
98,"(30000, 40000]",musician,36
99,"(30000, 40000]",perform,35
100,"(40000, 50000]",support,126
101,"(40000, 50000]",music,77
102,"(40000, 50000]",covid,62
103,"(40000, 50000]",pandemic,62
104,"(40000, 50000]",performance,56
105,"(40000, 50000]",personnel,55
106,"(40000, 50000]",response,55
107,"(40000, 50000]",composer,53
108,"(40000, 50000]",concert,50
109,"(40000, 50000]",cost,50
110,"(40000, 50000]",activity,49
111,"(40000, 50000]",include,48
112,"(40000, 50000]",musician,47
113,"(40000, 50000]",project,46
